item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q1779,Q1779$D5ADA6B5-27E7-4C33-B693-F640B042CAE1,P569,+1901-08-04T00:00:00Z,,+1900-08-04T00:00:00Z,http://snaccooperative.org/ark:/99166/w6xs5vvk,statement
Q3541979,Q3541979$9DF1EA2E-F433-4F3A-9F90-83ADB42FAEBE,P569,+1894-09-21T00:00:00Z,,+1891-12-31T00:00:00Z,http://www.filmportal.de/person/eda74ed528924939b78d1465d576287c,statement
Q718053,q718053$D4EF81B0-1466-462B-9392-053F10DDE5D4,P569,+1927-09-19T00:00:00Z,,+1928-09-19T00:00:00Z,https://www.fandango.com/people/wd-292707,statement
Q350678,q350678$93CF5933-DBD9-4D55-8576-67717423743A,P569,+1908-12-13T00:00:00Z,,+1910-12-13T00:00:00Z,https://catalogue.bnf.fr/ark:/12148/cb139488123,statement
Q262482,Q262482$E967962E-03B2-427E-8B17-DA5E3182DD96,P569,+1944-02-25T00:00:00Z,,+1942-02-25T00:00:00Z,https://www.csfd.cz/tvurce/423716/,statement
Q4898857,Q4898857$554EDDCB-8BA7-44F1-861A-146A306F06B2,P569,+1926-01-01T00:00:00Z,,+1921-12-28T00:00:00Z,https://historygreatest.com/betty-jane-watson-american-actress-and-singer-died-at-94,statement
Q4726032,Q4726032$EDADB4CC-8AC9-4C3D-8DE4-FC62D1EA6F78,P569,+1872-06-07T00:00:00Z,,+1868-06-07T00:00:00Z,https://catalogue.bnf.fr/ark:/12148/cb16580364k,statement
Q193608,q193608$4FE500BA-D424-441B-91CD-B9B3D951DB75,P569,+1878-01-06T00:00:00Z,,+1876-01-06T00:00:00Z,https://www.vle.lt/straipsnis/carl-august-sandburg/,statement
Q145627,Q145627$54A60424-1B96-49C3-A09A-712DFF939784,P569,+1931-04-08T00:00:00Z,,+1928-04-08T00:00:00Z,http://snaccooperative.org/ark:/99166/w64f2xw4,statement
Q270390,q270390$6ABDB661-BAA9-4D27-9C4E-C7D75B2CCD3F,P569,+1902-08-07T00:00:00Z,,+1901-08-07T00:00:00Z,https://www.csfd.cz/tvurce/16732/,statement
Q23009030,Q23009030$EF7E0FF1-BDCC-4E94-8514-4B6B351A20AD,P569,+1912-01-12T00:00:00Z,,+1908-01-12T00:00:00Z,https://www.britannica.com/biography/Ruth-Goodman-Goetz,statement
