"item","openLibraryID","publicationDate"
"Q7460326","OL5730220W","2009-01-01T00:00:00Z"
"Q7460438","OL1672318W","1982-01-01T00:00:00Z"
"Q7460442","OL4617343W","1999-01-01T00:00:00Z"
"Q7460507","OL1909529W","2004-01-01T00:00:00Z"
"Q7460511","OL497109W","1987-01-01T00:00:00Z"
"Q7460515","OL16188265W","2007-05-03T00:00:00Z"
"Q7460570","OL1815498W","2005-05-01T00:00:00Z"
"Q7460658","OL16547545W","2012-07-10T00:00:00Z"
"Q7460662","OL3973429W","1964-01-01T00:00:00Z"
"Q7460754","OL5706038W","2002-01-01T00:00:00Z"
"Q7460791","OL18165935W","1994-01-01T00:00:00Z"
"Q7460793","OL13536801W","2008-07-01T00:00:00Z"
"Q7460818","OL2950944W","1993-10-01T00:00:00Z"
"Q7461090","OL6089704W","1970-01-01T00:00:00Z"
"Q7462674","OL6021372W","2000-11-01T00:00:00Z"
"Q7462788","OL18178642W","2007-01-01T00:00:00Z"
"Q747087","OL59861W","1975-01-01T00:00:00Z"
"Q747981","OL267636W","1967-01-01T00:00:00Z"
"Q748075","OL15335590W","1995-01-01T00:00:00Z"
"Q7484358","OL515765W","1981-10-01T00:00:00Z"
"Q7487411","OL2100843W","1994-01-01T00:00:00Z"
"Q7487454","OL16043125W","1984-01-01T00:00:00Z"
"Q7487511","OL23559W","2000-01-01T00:00:00Z"
"Q7487638","OL5739728W","2009-09-01T00:00:00Z"
"Q7489796","OL8505496W","2007-04-10T00:00:00Z"
"Q7490361","OL23290W","1995-05-08T00:00:00Z"
"Q7490363","OL17731680W","2003-01-01T00:00:00Z"
"Q7490364","OL23296W","1982-05-10T00:00:00Z"
"Q7490365","OL16026885W","1990-01-01T00:00:00Z"
"Q7490367","OL23277W","1984-01-01T00:00:00Z"
"Q7490369","OL23268W","2006-08-28T00:00:00Z"
"Q7490371","OL17682652W","1985-01-01T00:00:00Z"
"Q7490379","OL23308W","1987-01-01T00:00:00Z"
"Q7490380","OL11277171W","1999-01-01T00:00:00Z"
"Q7492397","OL13593122W","1994-01-01T00:00:00Z"
"Q7492878","OL2731265W","2004-01-01T00:00:00Z"
"Q7493592","OL5734744W","2004-06-01T00:00:00Z"
"Q7493693","OL6213977W","2001-09-01T00:00:00Z"
"Q7494141","OL147088W","1925-01-01T00:00:00Z"
"Q7495078","OL17792533W","2011-01-01T00:00:00Z"
"Q7496714","OL13489W","1991-09-30T00:00:00Z"
"Q749783","OL2172403W","1962-10-01T00:00:00Z"
"Q749783","OL2172404W","1962-10-01T00:00:00Z"
"Q7497918","OL15440658W","2010-05-01T00:00:00Z"
"Q7498104","OL20305W","1994-01-01T00:00:00Z"
"Q7500029","OL2202394W","1982-01-01T00:00:00Z"
"Q7500129","OL1957969W","2003-09-01T00:00:00Z"
"Q7500565","OL10466779W","1966-01-01T00:00:00Z"
"Q7501143","OL1920798W","2000-10-11T00:00:00Z"
"Q75017436","OL76588W","1923-01-01T00:00:00Z"
"Q7502420","OL2665384W","1996-10-15T00:00:00Z"
"Q7504302","OL8165129W","1994-01-01T00:00:00Z"
"Q7505546","OL8571381W","2003-01-01T00:00:00Z"
"Q7505691","OL2660795W","1981-01-01T00:00:00Z"
"Q750670","OL81180W","1928-01-01T00:00:00Z"
"Q7507580","OL463543W","2000-02-01T00:00:00Z"
"Q7508269","OL9848101W","2008-01-01T00:00:00Z"
"Q7508542","OL116261W","1989-01-01T00:00:00Z"
"Q7509334","OL17644719W","2010-05-25T00:00:00Z"
"Q7509341","OL5715060W","2009-08-04T00:00:00Z"
"Q751012","OL19550224W","2010-01-01T00:00:00Z"
"Q7512627","OL15040953W","2009-01-01T00:00:00Z"
"Q7512844","OL9239683W","2009-06-23T00:00:00Z"
"Q7512973","OL3279758W","1990-11-01T00:00:00Z"
"Q751348","OL2625517W","1987-01-01T00:00:00Z"
"Q751348","OL2625517W","1987-09-04T00:00:00Z"
"Q7514535","OL8155815W","2005-04-13T00:00:00Z"
"Q7514546","OL18178806W","1992-01-01T00:00:00Z"
"Q7514574","OL19715W","1996-01-01T00:00:00Z"
"Q7514627","OL17827507W","2012-10-23T00:00:00Z"
"Q7514697","OL8896869W","2004-01-01T00:00:00Z"
"Q7514770","OL2987252W","2000-01-01T00:00:00Z"
"Q751678","OL19818682W","1979-01-01T00:00:00Z"
"Q7520106","OL6940103W","1976-08-23T00:00:00Z"
"Q7520159","OL4092651W","1925-01-01T00:00:00Z"
"Q7521222","OL108158W","2003-01-01T00:00:00Z"
"Q7522722","OL15521689W","2011-01-01T00:00:00Z"
"Q7522785","OL2611309W","1975-01-01T00:00:00Z"
"Q7523657","OL5954752W","1998-08-28T00:00:00Z"
"Q7523810","OL181817W","1999-01-01T00:00:00Z"
"Q7524259","OL9503001W","2008-02-05T00:00:00Z"
"Q7524265","OL55601W","1985-01-01T00:00:00Z"
"Q7524680","OL16014744W","2011-09-01T00:00:00Z"
"Q7525016","OL790477W","1999-11-01T00:00:00Z"
"Q752584","OL39349W","1925-05-14T00:00:00Z"
"Q753081","OL274942W","1995-09-19T00:00:00Z"
"Q7531202","OL16070998W","2007-09-04T00:00:00Z"
"Q7531252","OL18178903W","1970-01-01T00:00:00Z"
"Q7531272","OL19749W","2007-02-01T00:00:00Z"
"Q7531555","OL8666122W","2007-04-28T00:00:00Z"
"Q7532012","OL3357035W","1978-01-01T00:00:00Z"
"Q753251","OL230965W","1801-01-01T00:00:00Z"
"Q7532703","OL8134520W","1974-01-01T00:00:00Z"
"Q753290","OL81632W","1975-10-17T00:00:00Z"
"Q7532913","OL14853099W","1994-01-01T00:00:00Z"
"Q7533267","OL81657W","2007-01-01T00:00:00Z"
"Q7534448","OL59960W","2004-02-16T00:00:00Z"
"Q7535293","OL1810292W","1994-01-01T00:00:00Z"
"Q7535343","OL477815W","2001-01-01T00:00:00Z"
"Q7535360","OL463562W","1989-09-01T00:00:00Z"
"Q7535360","OL463582W","1989-09-01T00:00:00Z"
"Q7535488","OL2167386W","1996-01-01T00:00:00Z"
"Q7535490","OL2167407W","1993-01-01T00:00:00Z"
"Q7535492","OL2167397W","1995-01-01T00:00:00Z"
"Q7535493","OL2167387W","1994-01-01T00:00:00Z"
"Q7535567","OL463573W","2004-01-01T00:00:00Z"
"Q7535579","OL94858W","1990-01-01T00:00:00Z"
"Q7535824","OL15941217W","2010-02-04T00:00:00Z"
"Q7537154","OL14906956W","2010-08-03T00:00:00Z"
"Q7537289","OL14851930W","1999-01-01T00:00:00Z"
"Q7537308","OL16572340W","2012-01-01T00:00:00Z"
"Q7537604","OL2581172W","1994-01-01T00:00:00Z"
